iter	RMSE
0	37760.9231
1	37406.58074
2	37061.80482
3	36726.78539
4	36512.22599
5	36192.45834
6	35881.81467
7	35579.47057
8	35286.28234
9	35001.02219
10	34723.83272
11	34454.50242
12	34407.9044
13	34147.64581
14	33894.77267
15	33649.95846
16	33412.21677
17	33180.38397
18	32956.2385
19	32738.85712
20	32572.27363
21	32366.96203
22	32168.2988
23	31975.07891
24	31787.75739
25	31606.48013
26	31429.84868
27	31258.96575
28	31093.7601
29	31069.45467
30	30909.66856
31	30755.57696
32	30606.09829
33	30460.68784
34	30320.1271
35	30242.98102
36	30109.81524
37	29980.83605
38	29856.41792
39	29734.73724
40	29693.80231
41	29602.23089
42	29599.79555
43	29487.12091
44	29377.59788
45	29292.23353
46	29288.78234
47	29186.37395
48	29087.40041
49	29085.97365
50	28990.25378
51	28897.35737
52	28807.52907
53	28720.96058
54	28637.18417
55	28634.59004
56	28552.7432
57	28474.30485
58	28398.19003
59	28325.29064
60	28323.34663
61	28321.50486
62	28250.31627
63	28181.9905
64	28179.95758
65	28166.12269
66	28100.16823
67	28096.64503
68	28094.91585
69	28092.30437
70	28041.33972
71	27978.84861
72	27918.82332
73	27910.80605
74	27908.25391
75	27850.72872
76	27846.88004
77	27843.59398
78	27840.06914
79	27836.17291
80	27833.76338
81	27831.48667
82	27776.56538
83	27732.502
84	27721.74976
85	27718.54796
86	27715.10476
87	27711.82768
88	27708.9025
89	27706.68304
90	27703.22985
91	27700.73439
92	27697.2901
93	27694.2205
94	27689.61222
95	27686.43689
96	27675.81152
97	27671.88125
98	27669.33536
99	27667.49223
100	27615.5676
101	27613.26488
102	27563.70444
103	27515.62664
104	27508.22645
105	27462.60397
106	27457.32119
107	27454.14261
108	27424.49192
109	27421.75169
110	27378.61407
111	27375.16716
112	27346.34341
113	27344.16215
114	27341.89476
115	27340.12144
116	27335.81741
117	27294.69316
118	27254.00486
119	27251.30538
120	27248.70009
121	27217.14693
122	27215.60363
123	27212.42164
124	27210.15124
125	27172.84452
126	27136.84335
127	27101.47414
128	27099.55287
129	27096.39456
130	27062.75045
131	27059.29567
132	27055.90438
133	27053.1124
134	27049.54489
135	27045.03543
136	27018.03938
137	27015.84291
138	27013.24
139	26994.89899
140	26991.90167
141	26988.18531
142	26983.77424
143	26958.47786
144	26954.86076
145	26951.75132
146	26948.26625
147	26945.38352
148	26942.23621
149	26938.13334
150	26934.59675
151	26930.71545
152	26927.7438
153	26898.26838
154	26894.71665
155	26892.17201
156	26863.15306
157	26856.10203
158	26852.30269
159	26849.04891
160	26840.28606
161	26811.94134
162	26809.19602
163	26806.11233
164	26802.51408
165	26799.08985
166	26795.37176
167	26792.34565
168	26789.11096
169	26763.03199
170	26760.01599
171	26756.67192
172	26752.92821
173	26727.86851
174	26716.9225
175	26713.0472
176	26709.77231
177	26684.34787
178	26661.46768
179	26659.22807
180	26655.13753
181	26651.5513
182	26647.8694
183	26644.91815
184	26641.54219
185	26638.55976
186	26635.29184
187	26612.64027
188	26590.17591
189	26586.73681
190	26583.30112
191	26579.88843
192	26571.39214
193	26549.11321
194	26545.80097
195	26542.35479
196	26522.11539
197	26518.58432
198	26515.53027
199	26512.65656
200	26506.99418
201	26504.14321
202	26500.43243
203	26497.7796
204	26495.7819
205	26492.2545
206	26487.39367
207	26483.40621
208	26480.37534
209	26477.67272
210	26474.68644
211	26471.84742
212	26468.10764
213	26465.23259
214	26457.11103
215	26454.43498
216	26451.12608
217	26447.84533
218	26444.30542
219	26441.20667
220	26437.36192
221	26427.21179
222	26409.89753
223	26405.93546
224	26402.37333
225	26398.33693
226	26395.18959
227	26391.04331
228	26388.80498
229	26386.03757
230	26383.54752
231	26380.47885
232	26377.10809
233	26359.146
234	26341.93963
235	26339.52986
236	26322.38024
237	26304.94558
238	26301.31263
239	26285.45482
240	26281.64886
241	26265.94783
242	26263.5001
243	26260.06122
244	26257.96579
245	26255.26629
246	26249.87179
247	26246.64448
248	26243.00501
249	26240.17004
250	26236.95436
251	26232.71102
252	26217.91052
253	26214.41875
254	26211.7589
255	26208.43841
256	26205.10038
257	26201.33099
258	26197.39708
259	26194.3243
260	26190.41213
261	26186.38984
262	26184.26494
263	26179.33395
264	26164.29894
265	26160.92962
266	26157.62657
267	26144.38126
268	26141.11602
269	26138.41574
270	26135.061
271	26132.63608
272	26119.90572
273	26116.23966
274	26112.7541
275	26099.53917
276	26095.52599
277	26091.51983
278	26079.47696
279	26077.1155
280	26064.71904
281	26060.90019
282	26058.11415
283	26056.31273
284	26054.12759
285	26051.52362
286	26048.25477
287	26045.38371
288	26041.79449
289	26037.39361
290	26024.66798
291	26021.90296
292	26010.19655
293	25998.67593
294	25995.33246
295	25992.30808
296	25982.11416
297	25978.88395
298	25976.09475
299	25972.10766
300	25968.97811
301	25965.83678
302	25962.49043
303	25951.71832
304	25949.28809
305	25946.5172
306	25944.42386
307	25941.18629
308	25937.65262
309	25935.23336
310	25932.92589
311	25929.55054
312	25919.36204
313	25916.95753
314	25907.92501
315	25905.69504
316	25901.91867
317	25897.49968
318	25893.61523
319	25889.5598
320	25886.56502
321	25884.78156
322	25882.09241
323	25879.38823
324	25875.98681
325	25873.15083
326	25869.63352
327	25866.45921
328	25864.52396
329	25862.22554
330	25859.82337
331	25857.7576
332	25848.75736
333	25844.9276
334	25841.40894
335	25838.75315
336	25836.41346
337	25833.25348
338	25829.8439
339	25827.05474
340	25823.48054
341	25820.26157
342	25817.97555
343	25815.28327
344	25811.08147
345	25801.76987
346	25799.21812
347	25796.27964
348	25793.47524
349	25790.12485
350	25780.87902
351	25778.55377
352	25775.83688
353	25772.27622
354	25769.38857
355	25761.02947
356	25758.49409
357	25755.07769
358	25752.3266
359	25749.55983
360	25741.46833
361	25739.2076
362	25736.40809
363	25734.13686
364	25731.3956
365	25729.10395
366	25726.75507
367	25723.69206
368	25720.66188
369	25712.23093
370	25708.74978
371	25701.04946
372	25697.91675
373	25694.56633
374	25692.61946
375	25689.79847
376	25686.64011
377	25683.93345
378	25680.17932
379	25677.82608
380	25675.31443
381	25672.0993
382	25669.84519
383	25667.20405
384	25663.36013
385	25661.1278
386	25658.28121
387	25654.50848
388	25651.7325
389	25648.17098
390	25644.77628
391	25636.71543
392	25634.16908
393	25631.4231
394	25623.96779
395	25622.00134
396	25618.77011
397	25615.88141
398	25613.1113
399	25610.10057
400	25606.7607
401	25604.02733
402	25601.08074
403	25598.24964
404	25596.58979
405	25594.36289
406	25591.97305
407	25584.36228
408	25581.09609
409	25574.54184
410	25571.21785
411	25567.72596
412	25564.69489
413	25560.98414
414	25558.01621
415	25554.64389
416	25551.27179
417	25547.91183
418	25540.82967
419	25538.6503
420	25536.356
421	25534.20745
422	25531.58579
423	25528.91686
424	25526.72534
425	25523.43178
426	25519.89356
427	25518.1458
428	25516.03491
429	25513.78017
430	25510.46679
431	25507.2454
432	25504.9648
433	25502.54383
434	25499.28209
435	25496.27328
436	25493.15551
437	25490.73925
438	25488.05848
439	25485.30272
440	25483.0164
441	25479.61964
442	25476.92578
443	25474.0134
444	25471.64744
445	25469.1039
446	25466.49453
447	25463.41224
448	25460.50756
449	25457.48757
450	25450.57894
451	25447.86609
452	25445.27497
453	25442.94497
454	25437.20541
455	25434.40055
456	25432.00372
457	25429.06921
458	25426.19878
459	25423.78952
460	25421.82985
461	25419.03637
462	25415.86977
463	25413.32335
464	25411.11367
465	25405.6809
466	25402.71923
467	25400.36546
468	25396.80099
469	25394.476
470	25392.23072
471	25389.57272
472	25387.02897
473	25384.26505
474	25381.89871
475	25379.44112
476	25376.70558
477	25374.14303
478	25372.46159
479	25370.46365
480	25367.45164
481	25365.25117
482	25360.63682
483	25356.93473
484	25354.19454
485	25351.1187
486	25347.74389
487	25345.52318
488	25343.18976
489	25337.54917
490	25335.44784
491	25332.73281
492	25329.02766
493	25325.71033
494	25323.03483
495	25320.5157
496	25317.98758
497	25315.99943
498	25314.30612
499	25311.10688
500	25308.37078
501	25305.33555
502	25301.71537
503	25299.56356
504	25296.5865
505	25294.35158
506	25291.44556
507	25289.16363
508	25284.02355
509	25281.77949
510	25279.6464
511	25276.81422
512	25273.57341
513	25269.77843
514	25266.14029
515	25262.82713
516	25260.14295
517	25257.21231
518	25254.2787
519	25252.41079
520	25249.74435
521	25244.27513
522	25241.68514
523	25239.48145
524	25237.481
525	25235.6687
526	25230.51886
527	25227.66162
528	25224.88401
529	25221.34414
530	25217.85528
531	25213.86733
532	25210.86527
533	25208.25758
534	25205.42871
535	25201.75216
536	25198.96414
537	25195.94444
538	25193.27673
539	25190.19501
540	25188.10808
541	25185.6116
542	25182.06786
543	25179.35987
544	25176.39558
545	25173.71718
546	25171.33917
547	25168.40149
548	25165.8156
549	25163.0956
550	25160.71259
551	25157.88817
552	25154.99766
553	25151.49317
554	25148.8252
555	25145.16028
556	25142.76465
557	25141.14526
558	25138.92397
559	25136.43756
560	25133.82566
561	25130.85272
562	25129.32443
563	25126.39107
564	25124.65198
565	25123.14964
566	25120.39565
567	25117.79476
568	25116.07135
569	25113.68248
570	25110.69491
571	25107.87613
572	25106.05616
573	25103.47421
574	25101.92166
575	25099.40194
576	25096.93722
577	25093.99144
578	25091.50744
579	25088.6237
580	25085.97948
581	25080.65409
582	25077.71646
583	25075.67633
584	25073.73416
585	25071.50289
586	25069.40465
587	25066.8371
588	25064.8406
589	25061.49888
590	25059.36094
591	25055.37244
592	25052.62439
593	25051.16811
594	25048.28615
595	25044.77737
596	25042.97037
597	25040.94881
598	25038.11569
599	25036.49936
600	25034.23089
601	25031.81077
602	25029.39177
603	25026.04101
604	25021.71202
605	25018.90443
606	25016.83929
607	25014.63653
608	25013.18742
609	25010.15862
610	25006.59773
611	25003.96415
612	25000.51172
613	24998.33814
614	24996.17539
615	24993.07209
616	24990.90104
617	24988.75153
618	24986.65733
619	24981.64359
620	24978.78814
621	24975.87626
622	24973.97162
623	24971.29721
624	24968.65143
625	24965.83799
626	24962.82375
627	24959.83788
628	24957.44804
629	24954.91272
630	24952.93389
631	24950.96839
632	24948.69668
633	24946.54362
634	24944.12861
635	24941.23905
636	24939.00852
637	24936.01776
638	24933.70842
639	24931.0861
640	24929.33343
641	24927.15076
642	24924.14426
643	24920.49104
644	24917.95775
645	24916.16572
646	24914.31138
647	24912.59347
648	24910.67634
649	24908.51987
650	24905.62809
651	24903.79783
652	24902.0115
653	24899.8249
654	24897.72002
655	24895.45292
656	24893.11323
657	24890.84121
658	24889.17842
659	24886.45657
660	24882.3695
661	24879.53723
662	24877.27022
663	24874.80142
664	24872.27737
665	24869.17028
666	24865.19454
667	24862.47319
668	24860.05433
669	24858.04917
670	24855.81216
671	24851.72248
672	24850.51041
673	24848.32494
674	24846.16126
675	24843.5531
676	24840.64978
677	24839.08556
678	24836.81234
679	24833.29767
680	24830.99912
681	24827.93341
682	24824.77435
683	24822.69746
684	24820.11746
685	24818.75871
686	24815.89224
687	24812.79944
688	24810.05602
689	24805.59006
690	24803.44482
691	24801.91548
692	24799.64638
693	24797.41273
694	24795.67438
695	24793.59727
696	24791.63424
697	24789.76997
698	24785.29075
699	24783.36107
700	24781.80366
701	24779.41908
702	24776.96738
703	24774.66692
704	24772.07614
705	24769.07283
706	24767.10062
707	24763.57702
