iter	Passed	Remaining
0	8	8624
1	15	7880
2	22	7381
3	28	7203
4	35	7100
5	42	7023
6	49	6959
7	56	6999
8	63	6988
9	70	6977
10	77	7003
11	85	7003
12	93	7061
13	101	7118
14	108	7109
15	115	7100
16	122	7054
17	129	7054
18	136	7065
19	143	7040
20	150	7021
21	157	7001
22	165	7021
23	172	6999
24	179	6992
25	185	6966
26	192	6937
27	199	6928
28	206	6910
29	213	6904
30	220	6894
31	227	6876
32	233	6855
33	240	6837
34	247	6827
35	254	6811
36	261	6804
37	268	6791
38	275	6777
39	281	6762
40	288	6743
41	295	6738
42	302	6724
43	309	6713
44	315	6702
45	322	6686
46	329	6678
47	335	6661
48	342	6647
49	349	6634
50	356	6627
51	363	6622
52	370	6612
53	377	6607
54	384	6598
55	390	6590
56	398	6586
57	404	6575
58	411	6566
59	418	6555
60	425	6543
61	431	6530
62	438	6519
63	445	6510
64	451	6498
65	458	6489
66	465	6485
67	472	6479
68	479	6472
69	486	6458
70	493	6452
71	499	6438
72	506	6431
73	513	6429
74	520	6422
75	527	6414
76	534	6406
77	541	6398
78	548	6393
79	555	6386
80	562	6380
81	569	6370
82	575	6363
83	583	6360
84	590	6352
85	597	6345
86	604	6341
87	611	6336
88	617	6324
89	625	6321
90	632	6314
91	639	6308
92	646	6301
93	652	6293
94	660	6290
95	667	6281
96	673	6273
97	681	6268
98	687	6257
99	694	6250
100	701	6243
101	708	6237
102	715	6228
103	721	6218
104	728	6209
105	735	6202
106	742	6195
107	749	6187
108	755	6178
109	762	6171
110	769	6164
111	777	6162
112	784	6158
113	791	6153
114	798	6144
115	805	6135
116	812	6129
117	819	6121
118	825	6112
119	832	6104
120	838	6094
121	846	6088
122	852	6078
123	859	6071
124	866	6063
125	872	6053
126	879	6044
127	886	6037
128	893	6030
129	899	6022
130	906	6011
131	913	6006
132	920	5998
133	926	5990
134	933	5982
135	940	5977
136	947	5969
137	954	5960
138	960	5951
139	967	5945
140	974	5938
141	982	5935
142	989	5927
143	996	5921
144	1002	5913
145	1009	5905
146	1016	5900
147	1023	5892
148	1030	5884
149	1037	5876
150	1044	5872
151	1051	5866
152	1058	5861
153	1065	5854
154	1072	5847
155	1080	5843
156	1087	5838
157	1094	5830
158	1102	5830
159	1110	5832
160	1118	5829
161	1125	5824
162	1132	5817
163	1140	5812
164	1147	5805
165	1154	5798
166	1163	5802
167	1171	5801
168	1179	5799
169	1187	5795
170	1193	5788
171	1201	5783
172	1208	5777
173	1215	5771
174	1222	5762
175	1229	5754
176	1235	5746
177	1242	5737
178	1247	5719
179	1253	5709
180	1261	5706
181	1268	5702
182	1276	5697
183	1283	5691
184	1290	5687
185	1298	5682
186	1305	5675
187	1312	5667
188	1319	5660
189	1326	5653
190	1332	5645
191	1340	5639
192	1347	5632
193	1353	5624
194	1360	5616
195	1367	5610
196	1373	5600
197	1380	5592
