iter	RMSE
0	1.265495553
1	1.253208573
2	1.241559222
3	1.231823183
4	1.222784323
5	1.213517172
6	1.205470045
7	1.197486584
8	1.18962791
9	1.182488401
10	1.176026378
11	1.170082404
12	1.164765884
13	1.159728749
14	1.15548029
15	1.151890969
16	1.147368494
17	1.14236605
18	1.138417106
19	1.134779773
20	1.130945809
21	1.127159638
22	1.123841335
23	1.121381327
24	1.118778565
25	1.115191658
26	1.112373312
27	1.109954701
28	1.107484869
29	1.105397305
30	1.103289878
31	1.101328368
32	1.098927655
33	1.096845912
34	1.093305039
35	1.090645085
36	1.089006922
37	1.086767083
38	1.085308728
39	1.083195692
40	1.081326337
41	1.079782964
42	1.077358407
43	1.075727006
44	1.073947209
45	1.07213009
46	1.070481402
47	1.069052657
48	1.066746027
49	1.065342819
50	1.063772168
51	1.062093571
52	1.06101092
53	1.059885824
54	1.058849789
55	1.057404247
56	1.056054092
57	1.054351928
58	1.053397874
59	1.052140104
60	1.050760492
61	1.049299092
62	1.047875017
63	1.046599685
64	1.045175061
65	1.04433157
66	1.04312977
67	1.042053943
68	1.04111177
69	1.040041976
70	1.039138999
71	1.038410065
72	1.037421165
73	1.036462042
74	1.035113689
75	1.033536675
76	1.032922272
77	1.031688574
78	1.030966851
79	1.0301561
80	1.02922209
81	1.027904183
82	1.027259835
83	1.02689183
84	1.02566342
85	1.024528457
86	1.02339256
87	1.022802221
88	1.022135789
89	1.020919057
90	1.020089085
91	1.018971351
92	1.018019196
93	1.017117156
94	1.016026455
95	1.015176434
96	1.014107373
97	1.013370629
98	1.012557304
99	1.011762392
100	1.010509136
101	1.009233823
102	1.008566517
103	1.007710459
104	1.006644034
105	1.005978671
106	1.00532256
107	1.004496541
108	1.003733058
109	1.002729548
110	1.002133894
111	1.000879405
112	0.9998573298
113	0.9992533964
114	0.9988038194
115	0.9980667982
116	0.9975627743
117	0.9965620209
118	0.9955889015
119	0.9947679834
120	0.9942837724
121	0.9935207265
122	0.9929549958
123	0.9922466382
124	0.991526043
125	0.9903923752
126	0.9897472657
127	0.9887258934
128	0.9877209219
129	0.9868911073
130	0.9860410758
131	0.9853551993
132	0.9847120937
133	0.9840358874
134	0.9833999226
135	0.982876948
136	0.9822154551
137	0.9808296049
138	0.9802316637
139	0.9794048441
140	0.978807884
141	0.9782689966
142	0.9776278236
143	0.9767807004
144	0.9763813117
145	0.9759026196
146	0.9754217428
147	0.9745807165
148	0.9740698417
149	0.9733737635
150	0.9727980193
151	0.9723788528
152	0.9718274976
153	0.971111185
154	0.9700103283
155	0.9691208656
156	0.9686048174
157	0.9680969766
158	0.9674872812
159	0.966648192
160	0.9661194278
161	0.9654945838
162	0.9648811754
163	0.9642895017
164	0.9634361323
165	0.9629849444
166	0.9624073018
167	0.9620559269
168	0.9612794739
169	0.960741003
170	0.9599053
171	0.9595346162
172	0.9590272531
173	0.9584879969
174	0.9576428355
175	0.9570769215
176	0.956515855
177	0.9558870858
178	0.9553647192
179	0.9546158023
180	0.9540789063
181	0.953605328
182	0.9529328913
183	0.952294972
184	0.9516190027
185	0.9510179125
186	0.9504295201
187	0.9500593755
188	0.9493840176
189	0.9485640947
190	0.9480134231
191	0.9475778442
192	0.9468687762
193	0.9463704447
194	0.9458496865
195	0.9454229147
196	0.9449647277
197	0.944334907
198	0.9438029928
199	0.9430530201
200	0.9427048589
201	0.9417691237
202	0.9412551283
203	0.9404732063
204	0.9401332816
205	0.9396835522
206	0.9392152137
207	0.9386825273
208	0.9383101283
209	0.9378079787
210	0.9373407133
211	0.9367589018
212	0.9363362739
213	0.9359986571
214	0.9355132399
215	0.9350538095
216	0.9345247639
217	0.9339080332
218	0.9332130926
219	0.9327335924
220	0.9322395248
221	0.9317676938
222	0.9312990391
223	0.9310180848
224	0.9304334812
225	0.9298953446
226	0.9294946881
227	0.9288868785
228	0.9281227295
229	0.9277798496
230	0.9271759326
231	0.9268126942
232	0.9264412859
233	0.92619696
234	0.925797328
235	0.9250974311
236	0.9245575609
237	0.9240838162
238	0.9236287194
239	0.9232694434
240	0.9227696181
241	0.9223603585
242	0.9216932387
243	0.9213675125
244	0.9209191016
245	0.9205584141
246	0.919998756
247	0.9196442507
248	0.9193315686
249	0.9190163826
250	0.9185716326
251	0.9181884928
252	0.9178555528
