iter	Passed	Remaining
0	6	6176
1	11	5649
2	17	5699
3	22	5561
4	27	5436
5	32	5431
6	38	5417
7	43	5374
8	49	5402
9	54	5382
10	59	5311
11	64	5282
12	69	5252
13	73	5206
14	79	5191
15	84	5198
16	89	5172
17	94	5174
18	99	5157
19	105	5178
20	111	5187
21	116	5185
22	121	5169
23	126	5146
24	131	5137
25	136	5117
26	141	5099
27	147	5117
28	152	5101
29	157	5085
30	162	5068
31	167	5060
32	172	5044
33	177	5029
34	182	5024
35	187	5014
36	192	5008
37	197	5010
38	202	4994
39	207	4983
40	212	4972
41	217	4961
42	222	4952
43	227	4939
44	232	4931
45	237	4919
46	241	4906
47	247	4902
48	254	4940
49	260	4953
50	266	4964
51	271	4958
52	276	4943
53	281	4937
54	286	4926
55	291	4916
56	296	4910
57	302	4913
58	307	4908
59	313	4904
60	318	4899
61	323	4888
62	328	4883
63	333	4871
64	338	4865
65	342	4852
66	348	4847
67	353	4843
68	358	4833
69	363	4830
70	368	4819
71	373	4817
72	379	4815
73	384	4815
74	390	4812
75	395	4806
76	400	4797
77	405	4789
78	410	4782
79	415	4774
80	420	4767
81	425	4765
82	431	4765
83	436	4761
84	441	4757
85	447	4750
86	452	4743
87	456	4733
88	461	4727
89	467	4727
90	472	4717
91	477	4709
92	482	4702
93	486	4693
94	491	4684
95	496	4677
96	501	4671
97	506	4661
98	511	4656
99	516	4647
100	521	4642
101	526	4634
102	531	4628
103	536	4623
104	541	4617
105	546	4611
106	551	4603
107	556	4595
108	561	4587
109	565	4579
110	570	4571
111	575	4562
112	580	4557
113	585	4550
114	590	4543
115	595	4539
116	600	4531
117	605	4525
118	610	4519
119	615	4516
120	623	4527
121	629	4531
122	634	4524
123	639	4516
124	644	4510
125	649	4505
126	654	4498
127	659	4491
128	664	4484
129	669	4477
130	673	4470
131	678	4464
132	683	4457
133	688	4451
134	693	4445
135	698	4438
136	703	4432
137	708	4426
138	713	4421
139	718	4415
140	724	4412
141	729	4405
142	734	4399
143	738	4392
144	744	4387
145	749	4383
146	754	4375
147	758	4369
148	764	4368
149	771	4369
150	775	4362
151	781	4362
152	787	4357
153	792	4352
154	797	4350
155	802	4344
156	807	4338
157	814	4339
158	819	4335
159	824	4328
160	829	4325
161	835	4322
162	840	4316
163	846	4314
164	851	4311
165	856	4304
166	862	4302
167	867	4296
168	873	4293
169	878	4290
170	883	4285
171	888	4279
172	894	4274
173	899	4269
174	904	4263
175	909	4258
176	915	4255
177	920	4249
178	925	4243
179	930	4240
180	935	4235
181	941	4230
182	946	4226
183	951	4221
184	956	4214
185	962	4212
186	967	4206
187	972	4198
188	977	4193
189	983	4191
190	988	4185
191	993	4182
192	999	4179
193	1004	4172
194	1009	4167
195	1014	4162
196	1019	4156
197	1024	4148
198	1029	4145
199	1034	4139
200	1039	4133
201	1045	4129
202	1050	4123
203	1055	4117
204	1060	4112
205	1065	4107
206	1070	4101
207	1075	4095
208	1081	4091
209	1086	4086
210	1091	4080
211	1096	4077
212	1102	4074
213	1107	4068
214	1114	4067
215	1121	4071
216	1128	4071
217	1133	4067
218	1139	4062
219	1145	4059
220	1150	4056
221	1156	4052
222	1162	4049
223	1168	4047
224	1173	4041
225	1179	4038
226	1184	4033
227	1189	4027
228	1195	4024
229	1200	4020
230	1206	4016
231	1213	4017
232	1219	4013
233	1225	4011
234	1231	4010
235	1237	4007
236	1244	4005
237	1249	4002
238	1255	3998
239	1263	3999
240	1268	3993
241	1272	3986
242	1278	3983
243	1283	3977
244	1288	3972
245	1294	3966
246	1299	3960
247	1303	3954
248	1309	3948
249	1314	3942
250	1318	3935
251	1323	3929
252	1329	3924
253	1334	3918
254	1338	3911
255	1343	3905
256	1348	3899
257	1353	3893
258	1359	3888
259	1364	3882
260	1368	3875
261	1373	3869
262	1379	3864
263	1384	3858
264	1389	3853
265	1394	3846
266	1398	3840
267	1404	3835
268	1409	3830
269	1414	3823
270	1419	3818
271	1424	3812
272	1429	3806
273	1434	3800
274	1439	3794
275	1444	3788
276	1449	3783
277	1454	3777
278	1459	3772
279	1464	3766
280	1469	3759
281	1474	3754
282	1479	3748
283	1484	3742
284	1489	3737
285	1494	3732
286	1500	3727
287	1505	3721
288	1510	3715
289	1515	3710
290	1520	3704
291	1525	3698
292	1530	3693
293	1535	3688
294	1541	3683
295	1546	3677
296	1551	3671
297	1556	3666
298	1561	3660
299	1566	3655
300	1572	3651
301	1577	3646
302	1582	3641
303	1588	3637
304	1594	3632
305	1599	3627
306	1604	3621
307	1609	3617
308	1614	3611
309	1620	3606
310	1625	3600
311	1630	3595
312	1635	3588
313	1640	3584
314	1646	3579
315	1651	3573
316	1656	3568
317	1661	3563
318	1666	3557
319	1671	3552
320	1677	3547
321	1681	3541
322	1687	3536
323	1692	3531
324	1697	3525
325	1702	3519
326	1707	3514
327	1712	3508
328	1717	3503
329	1722	3497
330	1727	3492
331	1732	3486
332	1737	3480
333	1742	3475
334	1747	3469
335	1752	3463
336	1758	3458
337	1763	3453
338	1768	3447
339	1773	3442
340	1778	3436
341	1783	3430
342	1788	3424
343	1793	3419
344	1798	3414
345	1803	3408
346	1809	3404
347	1814	3399
348	1819	3394
349	1825	3390
350	1830	3384
351	1835	3379
352	1841	3375
353	1846	3369
354	1852	3365
355	1857	3360
356	1862	3355
357	1867	3349
358	1873	3345
359	1878	3339
360	1883	3333
361	1888	3327
362	1892	3321
363	1897	3315
364	1902	3310
365	1907	3304
366	1912	3298
367	1917	3293
368	1922	3287
369	1927	3281
370	1932	3275
371	1937	3270
372	1942	3264
373	1947	3259
374	1952	3253
375	1957	3248
376	1962	3243
377	1967	3237
378	1972	3231
379	1977	3226
380	1981	3219
381	1987	3214
382	1991	3209
383	1997	3203
384	2002	3198
385	2007	3193
386	2012	3187
387	2017	3181
388	2022	3177
389	2027	3171
390	2032	3165
391	2037	3160
392	2042	3155
393	2047	3149
394	2052	3144
395	2057	3137
396	2062	3132
397	2067	3127
398	2072	3121
399	2077	3116
400	2082	3111
401	2087	3105
402	2092	3099
403	2097	3093
404	2102	3088
405	2107	3084
406	2112	3078
407	2117	3072
408	2122	3066
409	2127	3060
410	2132	3055
411	2136	3049
412	2141	3044
413	2146	3038
414	2151	3032
415	2156	3027
416	2161	3022
417	2166	3016
418	2171	3011
419	2176	3005
420	2181	3000
421	2186	2995
422	2191	2989
423	2196	2984
424	2201	2978
425	2206	2973
426	2211	2967
427	2216	2962
428	2221	2957
429	2226	2951
430	2231	2946
431	2236	2940
