iter	RMSE
0	1.757864893
1	1.742449266
2	1.726484507
3	1.714510943
4	1.701133487
5	1.69122499
6	1.679608983
7	1.669204684
8	1.658250102
9	1.648359376
10	1.641781828
11	1.633090423
12	1.626371348
13	1.618427341
14	1.609911482
15	1.603562612
16	1.598073988
17	1.593795116
18	1.586547331
19	1.58191397
20	1.575606817
21	1.57061877
22	1.566062666
23	1.560630733
24	1.556937305
25	1.553779109
26	1.549308018
27	1.545932566
28	1.542237896
29	1.537737544
30	1.534348407
31	1.530778074
32	1.526471585
33	1.522748135
34	1.519198663
35	1.513651318
36	1.511459884
37	1.508879287
38	1.50507137
39	1.502229967
40	1.499668418
41	1.497654975
42	1.495067283
43	1.492873336
44	1.488987518
45	1.486943551
46	1.48339554
47	1.482088823
48	1.479554726
49	1.476504916
50	1.474047402
51	1.472573957
52	1.470296898
53	1.467437455
54	1.465508995
55	1.463729793
56	1.461910549
57	1.46050668
58	1.458533626
59	1.457000206
60	1.456242061
61	1.45495637
62	1.453521784
63	1.451570689
64	1.450126672
65	1.447936528
66	1.446285397
67	1.444405757
68	1.443319611
69	1.441368599
70	1.439606342
71	1.437325882
72	1.434907517
73	1.432564319
74	1.431265019
75	1.429943021
76	1.428060831
77	1.427078844
78	1.425665407
79	1.42454501
80	1.423679301
81	1.422570202
82	1.420834446
83	1.419922406
84	1.418869623
85	1.417517933
86	1.416201522
87	1.415329183
88	1.414040796
89	1.412639378
90	1.411536002
91	1.409896723
92	1.40910127
93	1.408348912
94	1.407303289
95	1.405858763
96	1.404422004
97	1.403477649
98	1.401850386
99	1.401386649
100	1.400452925
101	1.399291077
102	1.398488566
103	1.39681873
104	1.395335772
105	1.39434353
106	1.393334493
107	1.392693254
108	1.391987425
109	1.390681352
110	1.389925144
111	1.388787798
112	1.387682654
113	1.386904775
114	1.385983229
115	1.384596841
116	1.383444276
117	1.382598171
118	1.381457793
119	1.380580941
120	1.379885192
121	1.37892671
122	1.377701462
123	1.37652735
124	1.375706569
125	1.374714161
126	1.373582964
127	1.372770434
128	1.371932887
129	1.371409318
130	1.370226982
131	1.369593521
132	1.368080751
133	1.367176377
134	1.366220228
135	1.365295032
136	1.364315635
137	1.363288224
138	1.361907261
139	1.361288953
140	1.360636922
141	1.359793981
142	1.358864705
143	1.358317549
144	1.357112248
145	1.355795649
146	1.354947966
147	1.354160314
148	1.353386987
149	1.35238118
150	1.351453866
151	1.350581084
152	1.35012321
153	1.348703162
154	1.348015616
155	1.347468435
156	1.34670995
157	1.345762619
158	1.345036078
159	1.344406856
160	1.343497377
161	1.342783778
162	1.342043344
163	1.340791037
164	1.339883393
165	1.338899874
166	1.338325005
167	1.337410218
168	1.336569486
169	1.335794317
170	1.334998979
171	1.333926369
172	1.332966175
173	1.331525963
174	1.33110121
175	1.330382573
176	1.329805787
177	1.329272213
178	1.328741779
179	1.328106584
180	1.327525892
181	1.326676614
182	1.325471889
183	1.324873084
184	1.32414709
185	1.323330439
186	1.322425625
187	1.320929302
188	1.319663056
189	1.318636476
190	1.318021024
191	1.317267483
192	1.316669357
193	1.315342088
194	1.314773065
195	1.313878402
196	1.313146788
197	1.311526786
198	1.310690482
199	1.309889427
200	1.308934232
201	1.308218998
202	1.307691109
203	1.306930244
204	1.306100524
205	1.305409483
206	1.304795684
207	1.303982076
208	1.303282925
209	1.302652837
210	1.301746689
211	1.300973684
212	1.300221532
213	1.299103148
214	1.29839683
215	1.297523013
