iter	Passed	Remaining
0	5	5626
1	11	5834
2	16	5593
3	21	5444
4	27	5438
5	32	5363
6	37	5325
7	43	5340
8	48	5296
9	56	5581
10	62	5641
11	69	5716
12	74	5683
13	79	5620
14	84	5559
15	89	5514
16	95	5494
17	100	5495
18	106	5500
19	112	5498
20	117	5478
21	122	5448
22	127	5435
23	133	5416
24	138	5396
25	143	5377
26	148	5362
27	153	5345
28	159	5331
29	164	5306
30	168	5279
31	173	5259
32	179	5257
33	185	5256
34	190	5241
35	195	5228
36	200	5214
37	205	5196
38	211	5208
39	216	5194
40	221	5179
41	226	5170
42	231	5158
43	236	5140
44	242	5138
45	247	5126
46	252	5112
47	257	5099
48	261	5083
49	267	5073
50	271	5061
51	277	5055
52	282	5051
53	287	5039
54	293	5034
55	298	5024
56	302	5010
57	308	5007
58	313	5001
59	318	4989
60	323	4982
61	328	4971
62	333	4963
63	338	4956
64	344	4952
65	349	4945
66	354	4941
67	360	4936
68	365	4929
69	370	4925
70	375	4918
71	381	4918
72	387	4915
73	393	4922
74	398	4915
75	403	4909
76	409	4908
77	414	4898
78	419	4892
79	424	4884
80	429	4876
81	435	4870
82	440	4862
83	445	4862
84	450	4854
85	456	4847
86	461	4840
87	466	4833
88	471	4827
89	476	4821
90	481	4813
91	486	4805
92	492	4801
93	497	4792
94	502	4784
95	507	4776
96	512	4771
97	517	4762
98	522	4755
99	527	4746
100	532	4740
101	537	4734
102	543	4730
103	548	4724
104	553	4721
105	559	4715
106	564	4708
107	569	4699
108	574	4695
109	579	4689
110	584	4683
111	590	4677
112	595	4671
113	600	4665
114	605	4659
115	611	4661
116	616	4653
117	621	4648
118	627	4644
119	632	4638
120	637	4630
121	642	4625
122	647	4618
123	653	4613
124	658	4609
125	663	4602
126	668	4596
127	674	4593
128	679	4586
129	684	4579
130	689	4574
131	694	4567
132	699	4561
133	704	4555
134	710	4551
135	715	4545
136	720	4537
137	725	4534
138	731	4529
139	736	4523
140	742	4520
141	747	4514
142	752	4508
143	757	4502
144	762	4496
145	767	4489
146	772	4483
147	777	4477
148	782	4470
149	787	4463
150	792	4457
151	797	4451
152	802	4444
153	808	4442
154	813	4436
155	818	4430
156	824	4425
157	829	4420
158	834	4413
159	839	4407
160	844	4401
161	849	4395
162	854	4389
163	860	4385
164	865	4378
165	870	4372
166	875	4367
167	880	4361
168	885	4356
169	890	4350
170	896	4344
171	901	4338
172	906	4332
173	911	4328
174	916	4321
175	922	4317
176	927	4311
177	932	4305
178	937	4299
179	942	4293
180	947	4287
181	952	4282
182	958	4277
183	963	4270
184	968	4264
185	973	4260
186	978	4254
187	983	4248
188	989	4244
189	993	4237
190	999	4231
191	1004	4225
192	1009	4221
193	1014	4215
194	1019	4208
195	1024	4204
196	1030	4200
197	1035	4194
198	1041	4190
199	1046	4184
200	1051	4179
201	1056	4174
202	1061	4168
203	1066	4163
204	1072	4157
205	1077	4151
206	1083	4149
207	1088	4143
208	1093	4137
209	1098	4131
210	1103	4126
211	1108	4120
212	1113	4115
213	1118	4109
214	1124	4105
215	1129	4099
216	1134	4094
217	1140	4089
218	1145	4083
219	1149	4076
220	1155	4071
221	1160	4065
222	1165	4059
223	1170	4054
224	1175	4049
225	1180	4043
226	1185	4038
227	1191	4033
228	1196	4028
229	1201	4022
230	1206	4017
231	1211	4012
232	1216	4005
233	1222	4000
234	1227	3995
235	1232	3989
236	1237	3984
237	1242	3978
238	1247	3972
239	1252	3966
240	1257	3961
241	1262	3954
242	1267	3949
243	1273	3944
244	1278	3938
245	1283	3932
246	1288	3927
247	1293	3922
248	1298	3916
249	1303	3911
250	1308	3906
251	1314	3900
252	1319	3895
253	1324	3891
254	1329	3885
255	1334	3879
256	1340	3874
257	1344	3867
258	1349	3861
259	1355	3856
260	1360	3851
261	1365	3844
262	1370	3840
263	1375	3835
264	1380	3830
265	1386	3825
266	1391	3821
267	1398	3819
268	1404	3816
269	1409	3811
270	1414	3805
271	1419	3800
272	1425	3796
273	1430	3790
274	1436	3785
275	1441	3780
276	1446	3774
277	1451	3769
278	1456	3764
279	1461	3758
280	1466	3753
281	1472	3749
282	1477	3744
283	1483	3739
284	1488	3734
285	1494	3732
286	1500	3728
287	1506	3725
288	1513	3723
289	1519	3721
290	1526	3719
291	1532	3715
292	1539	3714
293	1544	3709
294	1550	3704
295	1555	3700
296	1560	3694
297	1565	3688
298	1571	3683
299	1576	3678
300	1582	3673
301	1587	3669
302	1592	3663
303	1597	3657
304	1602	3652
305	1607	3646
306	1612	3640
307	1617	3635
308	1623	3630
309	1628	3624
310	1633	3618
311	1638	3613
312	1643	3608
313	1649	3603
314	1654	3598
315	1660	3593
316	1665	3588
317	1671	3584
318	1676	3579
319	1682	3574
320	1687	3570
321	1693	3565
322	1698	3559
323	1704	3555
324	1709	3550
325	1715	3545
326	1721	3542
327	1726	3536
328	1731	3531
329	1736	3526
330	1742	3520
331	1747	3515
332	1752	3510
333	1757	3504
334	1762	3498
335	1767	3492
336	1772	3487
337	1777	3482
338	1783	3476
339	1788	3471
340	1793	3465
341	1798	3460
342	1803	3455
343	1809	3449
344	1814	3444
345	1819	3440
346	1825	3434
347	1830	3428
348	1835	3423
349	1840	3417
350	1844	3411
351	1850	3405
352	1855	3400
353	1860	3395
354	1865	3389
355	1870	3384
356	1875	3378
357	1880	3372
358	1886	3367
359	1891	3362
360	1896	3356
361	1901	3350
362	1906	3345
363	1911	3339
364	1916	3333
365	1921	3328
366	1926	3323
367	1932	3318
368	1937	3313
369	1942	3307
370	1947	3301
371	1953	3297
372	1957	3291
373	1962	3285
374	1968	3280
375	1973	3274
376	1978	3269
377	1983	3264
378	1989	3259
379	1994	3254
380	1999	3248
381	2004	3243
382	2009	3237
383	2014	3231
384	2020	3226
385	2025	3221
386	2029	3215
387	2035	3210
388	2040	3205
389	2045	3199
390	2050	3194
391	2055	3188
392	2061	3184
393	2066	3178
394	2071	3173
395	2077	3168
396	2082	3162
397	2087	3157
398	2093	3153
399	2099	3149
400	2106	3146
401	2112	3141
402	2118	3138
403	2124	3134
404	2130	3130
405	2136	3126
406	2141	3120
407	2146	3115
408	2153	3111
409	2158	3106
410	2164	3101
411	2170	3097
412	2175	3091
413	2180	3085
414	2185	3080
415	2190	3075
416	2195	3069
417	2200	3064
418	2205	3058
419	2210	3053
420	2215	3047
421	2221	3042
422	2225	3036
423	2231	3030
424	2236	3025
425	2241	3019
426	2246	3014
427	2251	3008
428	2256	3003
429	2261	2998
430	2266	2992
431	2272	2987
432	2277	2981
433	2282	2976
434	2287	2971
435	2292	2966
436	2298	2960
437	2303	2955
438	2308	2949
439	2313	2944
440	2319	2939
441	2324	2934
442	2329	2928
443	2334	2923
444	2339	2918
445	2344	2912
446	2350	2907
447	2356	2903
448	2361	2897
449	2366	2892
450	2371	2887
451	2376	2881
452	2381	2876
453	2387	2871
454	2392	2865
455	2397	2860
456	2402	2854
457	2407	2849
458	2412	2844
459	2418	2839
460	2423	2833
461	2428	2828
462	2434	2823
463	2439	2818
464	2444	2812
465	2450	2807
466	2455	2802
467	2460	2796
468	2465	2791
469	2470	2785
470	2475	2780
471	2481	2775
472	2486	2770
473	2491	2764
474	2496	2759
475	2501	2753
476	2506	2748
477	2511	2742
478	2517	2737
479	2522	2732
480	2527	2726
481	2532	2721
482	2537	2716
483	2542	2710
484	2548	2705
485	2553	2700
486	2558	2694
487	2563	2689
488	2568	2683
489	2573	2678
490	2578	2672
491	2583	2667
492	2588	2662
493	2593	2656
494	2598	2651
495	2603	2645
496	2608	2640
497	2614	2635
498	2619	2630
499	2624	2624
500	2630	2619
501	2635	2614
502	2640	2608
503	2645	2603
504	2650	2597
505	2655	2592
506	2660	2587
507	2665	2581
508	2670	2576
509	2675	2571
510	2681	2565
511	2686	2560
512	2691	2555
513	2696	2549
514	2701	2544
515	2706	2538
516	2711	2533
517	2717	2528
518	2722	2523
519	2727	2517
520	2733	2512
521	2738	2507
522	2743	2501
523	2748	2496
524	2753	2491
525	2758	2486
526	2763	2480
527	2768	2475
528	2773	2469
529	2778	2464
530	2783	2458
531	2789	2453
532	2794	2448
533	2799	2443
534	2804	2437
535	2809	2432
536	2814	2426
537	2819	2421
538	2824	2416
539	2830	2410
540	2835	2405
541	2840	2400
542	2845	2394
543	2850	2389
544	2855	2383
545	2860	2378
546	2865	2373
547	2870	2367
548	2875	2362
549	2881	2357
550	2886	2352
551	2891	2346
552	2896	2341
553	2901	2335
554	2906	2330
555	2911	2324
556	2916	2319
557	2921	2314
558	2926	2308
559	2931	2303
560	2936	2298
561	2941	2292
562	2947	2287
563	2952	2282
564	2957	2276
565	2962	2271
566	2967	2266
567	2972	2260
568	2977	2255
569	2982	2250
570	2987	2244
571	2992	2239
572	2998	2234
573	3003	2229
574	3008	2223
575	3014	2218
576	3019	2213
577	3024	2208
578	3030	2203
579	3035	2198
580	3040	2192
581	3046	2187
582	3051	2182
583	3056	2176
584	3061	2171
585	3067	2167
586	3072	2161
587	3078	2156
588	3083	2151
589	3088	2146
590	3093	2140
591	3098	2135
592	3103	2130
593	3108	2124
594	3114	2119
595	3119	2114
596	3124	2108
597	3129	2104
598	3135	2098
599	3140	2093
600	3145	2088
601	3150	2082
602	3155	2077
603	3160	2072
604	3165	2067
605	3171	2061
606	3176	2056
607	3181	2051
608	3186	2045
609	3191	2040
610	3197	2035
611	3202	2030
612	3207	2024
613	3212	2019
614	3217	2014
615	3222	2009
616	3227	2003
617	3233	1998
618	3239	1993
619	3244	1988
620	3249	1983
621	3254	1977
622	3259	1972
623	3264	1967
624	3269	1961
625	3274	1956
626	3279	1951
627	3284	1945
628	3289	1940
629	3294	1934
630	3299	1929
631	3304	1924
632	3309	1919
633	3314	1913
634	3320	1908
635	3325	1903
636	3331	1898
637	3336	1892
638	3341	1887
639	3346	1882
640	3351	1877
641	3356	1871
642	3361	1866
643	3367	1861
644	3371	1855
645	3377	1850
646	3382	1845
647	3387	1839
648	3392	1834
649	3397	1829
650	3402	1824
651	3407	1818
652	3412	1813
653	3417	1808
654	3422	1802
655	3427	1797
656	3433	1792
657	3438	1786
658	3443	1781
659	3448	1776
660	3453	1771
661	3458	1765
662	3464	1760
663	3469	1755
664	3473	1749
665	3479	1744
666	3484	1739
667	3489	1734
668	3495	1729
669	3500	1723
670	3505	1718
671	3510	1713
672	3515	1708
673	3521	1703
674	3526	1697
675	3531	1692
676	3536	1687
677	3542	1682
678	3547	1677
679	3552	1671
680	3557	1666
681	3562	1661
682	3567	1655
683	3573	1650
684	3578	1645
685	3583	1640
686	3588	1634
687	3594	1629
688	3599	1624
689	3604	1619
690	3609	1613
691	3614	1608
692	3619	1603
693	3625	1598
694	3630	1593
695	3635	1587
696	3640	1582
697	3645	1577
698	3651	1572
699	3656	1566
700	3661	1561
701	3666	1556
702	3671	1551
703	3676	1545
704	3681	1540
705	3686	1535
706	3691	1530
707	3697	1524
708	3702	1519
709	3707	1514
710	3712	1508
711	3717	1503
712	3722	1498
713	3727	1493
714	3732	1487
715	3738	1482
716	3743	1477
717	3748	1472
718	3754	1467
719	3759	1461
720	3764	1456
721	3769	1451
722	3774	1446
723	3779	1440
724	3784	1435
725	3789	1430
726	3794	1424
727	3799	1419
728	3804	1414
729	3810	1409
730	3815	1403
731	3820	1398
732	3825	1393
733	3831	1388
734	3836	1383
735	3841	1377
736	3846	1372
737	3851	1367
738	3856	1361
739	3861	1356
740	3866	1351
741	3871	1346
742	3877	1341
743	3882	1335
744	3887	1330
745	3892	1325
746	3897	1320
747	3902	1314
748	3907	1309
749	3913	1304
750	3918	1299
751	3923	1293
752	3928	1288
753	3933	1283
754	3938	1277
755	3943	1272
756	3948	1267
757	3953	1262
758	3958	1257
759	3964	1251
760	3969	1246
761	3974	1241
762	3979	1235
763	3984	1230
764	3989	1225
765	3995	1220
766	4000	1215
767	4005	1209
768	4010	1204
769	4015	1199
770	4021	1194
771	4026	1189
772	4031	1183
773	4036	1178
774	4041	1173
775	4046	1168
776	4051	1162
777	4056	1157
778	4062	1152
779	4067	1147
780	4072	1141
781	4077	1136
782	4083	1131
783	4087	1126
784	4093	1121
785	4098	1115
786	4103	1110
787	4108	1105
788	4113	1099
789	4118	1094
790	4123	1089
791	4128	1084
792	4133	1078
793	4138	1073
794	4144	1068
795	4149	1063
796	4154	1058
797	4159	1052
798	4164	1047
799	4169	1042
800	4175	1037
801	4180	1032
802	4185	1026
803	4190	1021
804	4196	1016
805	4201	1011
806	4206	1006
807	4211	1000
808	4216	995
809	4221	990
810	4227	985
811	4232	979
812	4237	974
813	4242	969
814	4247	964
815	4252	958
816	4257	953
817	4262	948
818	4268	943
819	4273	938
820	4278	932
821	4283	927
822	4288	922
823	4294	917
824	4299	911
825	4304	906
826	4309	901
827	4314	896
828	4319	891
829	4324	885
830	4330	880
831	4334	875
832	4340	870
833	4345	864
834	4350	859
835	4355	854
836	4360	849
837	4365	844
838	4371	838
839	4376	833
840	4381	828
841	4386	823
842	4392	817
843	4397	812
844	4402	807
845	4407	802
846	4412	797
847	4417	791
848	4422	786
849	4428	781
850	4433	776
851	4438	771
852	4444	765
853	4449	760
854	4454	755
855	4459	750
856	4465	745
857	4470	739
858	4475	734
859	4480	729
860	4485	724
861	4491	719
862	4496	713
863	4501	708
864	4506	703
865	4512	698
866	4517	692
867	4522	687
868	4527	682
869	4532	677
870	4537	672
871	4542	666
872	4548	661
873	4553	656
874	4558	651
875	4563	646
876	4568	640
877	4574	635
878	4579	630
879	4584	625
880	4589	619
881	4594	614
882	4599	609
883	4605	604
884	4610	599
885	4615	593
886	4620	588
887	4625	583
888	4630	578
889	4636	573
890	4641	567
891	4646	562
892	4651	557
893	4656	552
894	4662	546
895	4666	541
896	4672	536
897	4677	531
898	4682	526
899	4687	520
900	4692	515
901	4697	510
902	4702	505
903	4707	499
904	4712	494
905	4717	489
906	4723	484
907	4728	479
908	4733	473
909	4738	468
910	4743	463
911	4748	458
912	4754	453
913	4759	447
914	4763	442
915	4768	437
916	4774	432
917	4779	426
918	4784	421
919	4789	416
920	4794	411
921	4799	406
922	4804	400
923	4809	395
924	4814	390
925	4820	385
926	4825	379
927	4830	374
928	4834	369
929	4840	364
930	4845	359
931	4850	353
932	4856	348
933	4861	343
934	4866	338
935	4871	333
936	4877	327
937	4882	322
938	4887	317
939	4892	312
940	4897	307
941	4902	301
942	4907	296
943	4912	291
944	4918	286
945	4923	281
946	4928	275
947	4933	270
948	4939	265
949	4944	260
950	4949	255
951	4955	249
952	4959	244
953	4965	239
954	4970	234
955	4975	229
956	4980	223
957	4985	218
958	4991	213
959	4996	208
960	5002	203
961	5007	197
962	5012	192
963	5017	187
964	5023	182
965	5028	176
966	5033	171
967	5038	166
968	5043	161
969	5048	156
970	5054	150
971	5059	145
972	5064	140
973	5069	135
974	5074	130
975	5079	124
976	5084	119
977	5090	114
978	5095	109
979	5100	104
980	5105	98
981	5110	93
982	5115	88
983	5121	83
984	5126	78
985	5131	72
986	5136	67
987	5141	62
988	5146	57
989	5152	52
990	5157	46
991	5162	41
992	5167	36
993	5173	31
994	5178	26
995	5183	20
996	5188	15
997	5193	10
998	5198	5
999	5203	0
