molecule_chembl_id,canonical_smiles,logPotency
CHEMBL508329,N#C/C(=C/c1ccc(O)c(O)c1)C(N)=S,5.523820737518296
CHEMBL29097,CC(C)c1ccc2c(c1)c(SC(C)(C)C)c(CC(C)(C)C(=O)O)n2Cc1ccc(Cl)cc1,4.623822850830957
CHEMBL86931,NC[C@@H]1O[C@H](c2ccccc2)Cc2c1ccc(O)c2O,5.573830452964674
CHEMBL19130,CN1CCc2cc(O)cc3c2[C@H]1Cc1ccc(O)c(O)c1-3,5.4238199562122835
CHEMBL164,O=c1c(O)c(-c2cc(O)c(O)c(O)c2)oc2cc(O)cc(O)c12,5.8238218907326695
CHEMBL244948,O=c1ccc2ccc(O)c(O)c2o1,5.023824324083236
CHEMBL59,NCCc1ccc(O)c(O)c1,6.073811950892794
CHEMBL68534,N#C/C(=C\c1c[nH]c2ccccc12)C(=O)c1ccc(O)c(O)c1,5.373823935845267
CHEMBL1256623,CN(N=O)c1ccc(O)c(O)c1,5.573830452964674
CHEMBL1622540,Cc1nc(/N=N\c2cc(S(=O)(=O)O)c3cc([N+](=O)[O-])cc(S(=O)(=O)O)c3c2)c(COP(=O)(O)O)c(C=O)c1O,4.623822850830957
CHEMBL313972,C[C@H](Cc1ccc(O)c(O)c1)[C@@H](C)Cc1ccc(O)c(O)c1,6.123839915174372
CHEMBL432,NCC(O)c1ccc(O)c(O)c1,5.523820737518296
CHEMBL41140,O=[N+]([O-])c1ccc2nc(N3CCNCC3)ccc2c1,5.023824324083236
CHEMBL578741,Nc1ccc(-c2nc3ccc(-c4nc5ccc(N)cc5[nH]4)cc3[nH]2)cc1,4.673821906757712
CHEMBL337309,O=C1c2c(O)cc(O)cc2OC(c2ccc(O)c(O)c2)C1O,5.573830452964674
CHEMBL588,Oc1ccc(C2CNCCc3c2cc(O)c(O)c3Cl)cc1,4.9238221278108405
CHEMBL1065,CC[C@@H](CO)NC(=O)[C@@H]1C=C2c3cccc4c3c(cn4C)C[C@H]2N(C)C1,5.123822587638069
CHEMBL1182747,C[N+](C)(CCCCCC[N+](C)(C)CCCN1C(=O)c2cccc3cccc(c23)C1=O)CCCN1C(=O)c2cccc3cccc(c23)C1=O,5.523820737518296
CHEMBL601364,CC[n+]1c(C=CC=C2N(C)c3ccccc3C2(C)C)sc2ccccc21,4.573822313783814
CHEMBL1160025,Nc1c(S(=O)(=O)O)cc(Nc2ccc(Nc3nc(Cl)nc(Nc4ccc(S(=O)(=O)O)cc4)n3)c(S(=O)(=O)O)c2)c2c1C(=O)c1ccccc1C2=O,6.023833499868025
CHEMBL157351,N#CSc1ccc2oc(C3=NCCN3)cc2c1,4.523822188312375
CHEMBL1437,NC[C@H](O)c1ccc(O)c(O)c1,5.6738280547108255
CHEMBL281232,NCC(O)c1cc(O)c(O)cc1F,5.573830452964674
CHEMBL1396221,CC(C)[C@@H]1C(O)=C(C(N)=O)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)ccc(N(C)C)c4C[C@H]3C[C@@H]12,4.523822188312375
CHEMBL569864,COc1cc2nc(N3CCCN(C)CC3)nc(NC3CCN(Cc4ccccc4)CC3)c2cc1OC,4.873823119256805
CHEMBL280998,Oc1ccccc1O,5.2238220274177705
CHEMBL322970,O=C1NC(=O)C(c2ccccc2[N+](=O)[O-])=C1Nc1ccc(O)c(Cl)c1,4.723823223283853
CHEMBL485832,N=C(N)Nc1ccc2[nH]c3c(c2c1)C[C@@]1(O)[C@H]2Cc4ccc(O)c5c4[C@@]1(CCN2CC1CC1)[C@H]3O5,4.673821906757712
CHEMBL123,Cc1c2ccncc2c(C)c2c1[nH]c1ccccc12,4.973822324283377
CHEMBL367625,CCn1cnc2c(Nc3cccc(Cl)c3)nc(N[C@@H]3CCCC[C@@H]3N)nc21,4.573822313783814
CHEMBL379156,O=C1NC(=O)/C(=C/c2ccc(-c3ccc(F)cc3O)o2)S1,4.573822313783814
CHEMBL31088,CNCCc1ccc(O)c(O)c1,5.523820737518296
CHEMBL573214,Oc1ccc2c3c1O[C@H]1c4[nH]c5c(c4C[C@@]4(O)[C@@H](C2)N(CC2CC2)CC[C@]314)C[C@@]1(O)[C@H]2Cc3ccc(O)c4c3[C@@]1(CCN2CC1CC1)[C@H]5O4,4.9238221278108405
CHEMBL333826,Cc1cc(N)c2ccccc2[n+]1CCCCCCCCCC[n+]1c(C)cc(N)c2ccccc21,4.673821906757712
CHEMBL1284,O=C(O)Cc1ccc(O)c(O)c1,6.173795576500747
CHEMBL56731,N#C/C(=C\c1ccc(O)c(O)c1)C(=O)Nc1ccccc1,4.723823223283853
CHEMBL28626,O=c1c(O)c(-c2ccc(O)cc2O)oc2cc(O)cc(O)c12,5.623824677282166
CHEMBL365739,c1ccc2c(c1)[I+]c1ccccc1-2,4.873823119256805
CHEMBL67535,N#C/C(=C\c1ccc(O)c(O)c1)C(=O)NCCCNC(=O)/C(C#N)=C/c1ccc(O)c(O)c1,6.173795576500747
CHEMBL1433,C[C@H]1c2cccc(O)c2C(=O)C2=C(O)[C@]3(O)C(=O)C(C(N)=O)=C(O)[C@@H](N(C)C)[C@@H]3[C@@H](O)[C@@H]21,4.623822850830957
CHEMBL1201356,CC[C@@H](CO)NC(=O)[C@@H]1C=C2c3cccc4[nH]cc(c34)C[C@H]2N(C)C1,4.873823119256805
CHEMBL1320902,CC(N)[C@H](O)c1ccc(O)c(O)c1,5.573830452964674
CHEMBL718,CC(N)(Cc1ccc(O)c(O)c1)C(=O)O,5.623824677282166
CHEMBL109037,NC(Cc1cc(O)c(O)cc1O)C(=O)O,6.173795576500747
CHEMBL30432,CN(C)c1cc2c(Nc3ccc4c(cnn4Cc4ccccc4)c3)ncnc2cn1,4.9238221278108405
CHEMBL1417392,C[C@](Cc1ccc(O)c(O)c1)(NN)C(=O)O,5.72381402592933
CHEMBL269733,CN(N=O)c1cc(O)ccc1O,4.573822313783814
CHEMBL26736,NC1CCc2cc(O)c(O)cc2C1,5.923833060655068
CHEMBL1224512,O=c1cc(O)cc(/C=C/c2ccc(O)c(O)c2)o1,6.223807485252928
CHEMBL679,CNC[C@H](O)c1ccc(O)c(O)c1,4.973822324283377
CHEMBL459,C[C@](N)(Cc1ccc(O)c(O)c1)C(=O)O,6.073811950892794
CHEMBL297784,Cn1ccc2cc3c(cc21)CCN3C(=O)Nc1cccnc1,4.673821906757712
CHEMBL1256291,O=C(c1cc(O)c(O)c([N+](=O)[O-])c1)c1ccccc1F,4.673821906757712
CHEMBL265502,Cc1ccc(C(=O)Nc2ccc(S(=O)(=O)O)c3cc(S(=O)(=O)O)cc(S(=O)(=O)O)c23)cc1NC(=O)c1cccc(NC(=O)Nc2cccc(C(=O)Nc3cc(C(=O)Nc4ccc(S(=O)(=O)O)c5cc(S(=O)(=O)O)cc(S(=O)(=O)O)c45)ccc3C)c2)c1,6.473789996158335
CHEMBL1257003,COc1cc(/C=C(\C#N)C(=O)c2ccc(O)c(O)c2)cc(I)c1O,6.073811950892794
CHEMBL289277,Cc1cc(O)c2c(c1)C(=O)c1cc(O)cc(O)c1C2=O,4.8238218907326695
CHEMBL429095,O=C1C(SCCO)=C(SCCO)C(=O)c2ccccc21,4.873823119256805
CHEMBL56393,N#C/C(=C\c1ccc(O)c(O)c1)C(=O)c1ccc(O)c(O)c1,6.123839915174372
CHEMBL58,O=C1c2c(O)ccc(O)c2C(=O)c2c(NCCNCCO)ccc(NCCNCCO)c21,5.523820737518296
CHEMBL1376723,N#CC(C#N)=C/C(N)=C(/C#N)c1cc(O)c(O)c(O)c1,5.4238199562122835
CHEMBL72365,O=C1Nc2ccc(I)cc2/C1=C/c1cc(Br)c(O)c(Br)c1,4.673821906757712
CHEMBL50,O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,5.623824677282166
CHEMBL1117,CC(=O)[C@]1(O)Cc2c(O)c3c(c(O)c2[C@@H](O[C@H]2C[C@H](N)[C@H](O)[C@H](C)O2)C1)C(=O)c1ccccc1C3=O,4.573822313783814
CHEMBL1591,CN(C)[C@@H]1C(O)=C(C(N)=O)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)ccc(Cl)c4[C@@H](O)[C@H]3C[C@@H]12,4.523822188312375
CHEMBL76904,N#CC(C#N)=Cc1ccc(O)c(O)c1,4.723823223283853
CHEMBL1009,N[C@@H](Cc1ccc(O)c(O)c1)C(=O)O,5.4238199562122835
CHEMBL1206126,O=C(Nc1cccc(C(=O)Nc2ccc(S(=O)(=O)O)c3cc(S(=O)(=O)O)cc(S(=O)(=O)O)c23)c1)Nc1cccc(C(=O)Nc2ccc(S(=O)(=O)O)c3cc(S(=O)(=O)O)cc(S(=O)(=O)O)c23)c1,5.72381402592933
CHEMBL7568,CCN(CC)CCCC(C)Nc1c2ccc(Cl)cc2nc2ccc(OC)cc12,4.8238218907326695
CHEMBL69863,Oc1cc(O)cc(/C=C/c2ccc(O)c(O)c2)c1,6.073811950892794
CHEMBL13045,COc1ccc2c(c[n+](C)c3c4cc5c(cc4ccc23)OCO5)c1OC,4.523822188312375
CHEMBL311498,Oc1cc(O)c2c(c1)O[C@H](c1ccc(O)c(O)c1)[C@@H](O)C2,5.32381870276574
CHEMBL70099,CN1CCc2cccc3c2C1Cc1ccc(O)c(O)c1-3,4.623822850830957
CHEMBL288096,CCCN1CCc2cc(O)cc3c2[C@H]1Cc1ccc(O)c(O)c1-3,5.573830452964674
CHEMBL1740,CNCC(O)c1ccc(O)c(O)c1,5.47382878572758
CHEMBL51483,Cc1cc2c(C(C)C)c(O)c(O)c(C=O)c2c(O)c1-c1c(C)cc2c(C(C)C)c(O)c(O)c(C=O)c2c1O,4.9238221278108405
