molecule_chembl_id,canonical_smiles,pIC50
CHEMBL1339275,COc1cc(OC)c(S(=O)(=O)Nc2ccccc2C(=O)O)cc1S(=O)(=O)Nc1ccccc1C(=O)O,5.236212738956017
CHEMBL1592105,O=C(Nc1ccccc1O)c1cccc(S(=O)(=O)Nc2ccccc2O)c1,4.536212985826718
CHEMBL1374603,COc1ccc(NS(=O)(=O)c2ccc3c(c2)[C@H]2C=CC[C@H]2[C@@H](c2ccc(C(=O)O)cc2)N3)cc1,5.4862099349802405
CHEMBL1519239,Cc1ccc(S(=O)(=O)Nc2cc(Cl)c(O)c3ncccc23)cc1,4.486213926308957
CHEMBL1378953,O=C(O)c1cccc(S(=O)(=O)Nc2ccc(O)cc2Sc2nc3ccccc3s2)c1,4.536212985826718
CHEMBL1333250,O=C(O)c1ccccc1NS(=O)(=O)c1cccc(-n2sc3ccccc3c2=O)c1,5.286215546576928
CHEMBL1531546,CCN1C(=O)c2cccc3c(S(=O)(=O)Nc4ccccc4O)ccc1c23,4.536212985826718
CHEMBL1387163,NS(=O)(=O)c1ccc(CNS(=O)(=O)c2cc(C(=O)O)ccc2Cl)cc1,5.236212738956017
CHEMBL1383966,CCOC(=O)CC(NS(=O)(=O)c1ccc2ncc(C(=O)O)c(O)c2c1)c1ccc(OCC)c(OC)c1,4.686212899595111
CHEMBL1391464,O=C(O)c1ccc(S(=O)(=O)Nc2ccc(O)c(Sc3nc4ccccc4s3)c2)cc1,4.536212985826718
CHEMBL3211557,Cc1ccc(S(=O)(=O)Nc2ccccc2/C=N/c2nc3ccccc3n2C)cc1,4.736212487265239
CHEMBL1434285,O=C(O)c1ccccc1NS(=O)(=O)c1cccc(NS(=O)(=O)c2cc(Br)ccc2Br)c1,4.686212899595111
CHEMBL1734350,COc1ccc(OC)c(S(=O)(=O)Nc2ccccc2O)c1,4.536212985826718
CHEMBL1409338,CN1C(=O)c2cccc3c(S(=O)(=O)Nc4ccc(O)c(C(=O)O)c4)ccc1c23,4.536212985826718
CHEMBL1417701,Cc1ccc(C)c(S(=O)(=O)Nc2ccc3oc(C)c(C(=O)O)c3c2)c1,4.786214046061061
CHEMBL235541,Cc1ccc(S(=O)(=O)Nc2cc(C)c(O)c(Sc3nnc(C)[nH]3)c2)cc1,4.536212985826718
CHEMBL1499938,Cc1ccc(NS(=O)(=O)c2cc(C(=O)O)ccc2Cl)cc1,4.786214046061061
CHEMBL1479483,Cc1ccc(S(=O)(=O)Nc2ccc(O)c3ccccc23)c(C)c1,4.486213926308957
CHEMBL1481999,Cc1oc2c(cc(NS(=O)(=O)c3ccc(Cl)cc3)c3ccccc32)c1C(=O)O,4.686212899595111
