# of Nodes 3,Epochs,Batch size,l2_2,l2_3,Train loss,Test loss,r2
64,50,2,0.03,0.03,0.7342998034135682,0.8559747488432755,0.2444203610105834
64,50,2,0.05,0.05,0.745523898959974,0.8581388638864721,0.24157819661946123
64,50,2,0.05,0.03,0.7191530854161293,0.858226434134998,0.23097883876706682
64,50,2,0.03,0.0,0.7361604372671614,0.8647401564115589,0.22191856571421242
64,50,2,0.07,0.07,0.7531375673059985,0.8656915804814493,0.22801754506406502
32,50,2,0.03,0.03,0.7368461500709931,0.8668996686292468,0.21670609165917576
64,50,2,0.05,0.07,0.7562766680288615,0.8694122549841289,0.2112523207863074
64,50,2,0.07,0.05,0.7477770366926468,0.8827362872172334,0.19424537618426585
64,100,2,0.07,0.0,0.7405359360903094,0.8828011837691724,0.17927827958985665
64,50,2,0.03,0.07,0.7526163149699233,0.8833118411176007,0.19269982323134616
64,100,2,0.07,0.05,0.7431868379986425,0.8901773437335183,0.18478365124455665
64,100,2,0.03,0.03,0.7421008896633868,0.8902481920768301,0.1897893440106937
64,100,2,0.05,0.03,0.7390589265787376,0.8956977419587079,0.17859213662699736
64,100,2,0.05,0.07,0.7415480958570546,0.8992399317675495,0.16560718599797453
64,150,2,0.07,0.07,0.7394023208409402,0.9030593129981495,0.14084133741389282
64,100,2,0.05,0.05,0.7480857771108659,0.9038692226518876,0.13482536273144174
64,100,2,0.05,0.0,0.744946388353807,0.9092130638152106,0.13748625998811748
64,150,2,0.07,0.05,0.741703860906354,0.9093066462492118,0.1222436987291372
64,100,2,0.03,0.05,0.7483622196079069,0.9107907688121633,0.14302530966282578
64,150,2,0.03,0.03,0.7371407731935262,0.9116010110612558,0.11396586072758796
64,150,2,0.05,0.03,0.7509852509740651,0.9143111124059823,0.14035916069823995
64,150,2,0.05,0.0,0.7401307692041754,0.9151374263439552,0.12784919254742866
64,100,2,0.07,0.07,0.7596906338518226,0.926742807027632,0.10714626031788488
64,150,2,0.07,0.03,0.7484329782272178,0.9289383552857371,0.09820583832076957
64,150,2,0.07,0.0,0.7615367669946006,0.9295155610875441,0.09092209496563464
64,150,2,0.05,0.07,0.7454663982356369,0.93402520373551,0.09433948439868511
64,150,2,0.03,0.07,0.783801186764417,0.9354309919681626,0.09705276373336591
64,150,2,0.03,0.05,0.7677147762129781,0.93918749531748,0.09278434798773538
64,50,4,0.07,0.0,0.907245155489372,0.9488488586603459,0.12919507967107724
64,50,4,0.03,0.07,0.9112435312273329,0.9636488105495334,0.11788243248522312
64,50,4,0.05,0.07,0.916223779008737,0.9680057083306665,0.114939771189006
64,50,4,0.05,0.03,0.916059964587191,0.9691983711506967,0.1099375280146766
64,50,4,0.05,0.05,0.9315990045933082,0.9786745621255379,0.08924461511427229
64,50,4,0.07,0.05,0.9289137600552059,0.9790060742375835,0.10559469516385045
64,150,4,0.05,0.05,0.9096586424736969,0.9861295424084421,0.047961457188040235
64,50,4,0.03,0.0,0.9305987823880624,0.9878592006186125,0.08699254933630673
64,150,4,0.03,0.07,0.9006176400632565,0.989333537475591,0.060240951236560925
64,50,4,0.07,0.07,0.9308558915629799,0.9923036332051606,0.07180086217042725
64,50,6,0.07,0.07,0.9748225940797377,0.9952620327117964,0.05728116367860603
64,100,4,0.03,0.07,0.9508013924396106,0.9952846982013351,0.04351008122392375
64,50,6,0.05,0.07,0.9709595795421037,0.9968847683224402,0.07364598550299051
64,50,6,0.07,0.03,0.9679877270176375,0.9975000120608911,0.06275874185625441
64,100,4,0.07,0.03,0.9217041600228435,0.9975118929288481,0.04328722034258514
64,50,6,0.03,0.07,0.9677026898993939,1.000290059006489,0.05869302783579966
64,100,4,0.05,0.07,0.9428849014888923,1.0035122598040702,0.017094764218840264
64,50,4,0.07,0.03,0.9352821008660361,1.005168504636398,0.06069051150253557
64,100,4,0.03,0.03,0.9427105798589657,1.0059240501560835,0.019395104044779177
64,100,4,0.03,0.0,0.9332773395903456,1.0071369657660847,0.026622522211973032
64,50,6,0.03,0.0,0.98519293967627,1.0080453279796957,0.04200908297676931
64,100,4,0.07,0.05,0.9353379700567378,1.0081107877111741,0.028652964202924847
64,50,6,0.07,0.0,0.9943288704732174,1.009581542192355,0.03314841594213591
64,100,6,0.07,0.05,0.9698502155104205,1.0141319178908452,0.010794761354049554
64,150,4,0.07,0.0,0.92833808944049,1.0149186003543489,0.01628708287054914
64,100,6,0.05,0.03,0.9859980815414694,1.0207279819004798,0.005909782310037248
64,100,6,0.03,0.0,0.9781874746340031,1.023809038497348,0.007236696665121278
64,150,6,0.03,0.05,0.9727779623265901,1.0258171078318143,-0.00497452071155724
64,100,6,0.05,0.05,0.9892047781154167,1.027501378694517,0.0075593482202841455
64,100,6,0.07,0.0,0.9820193525301026,1.0275326233715762,-0.023381313066997533
64,150,6,0.05,0.0,0.9735791819851718,1.0305961837033333,-0.021986274129574435
64,150,6,0.07,0.07,0.9850540514765286,1.0329883026009847,-0.01899984440032143
64,150,6,0.07,0.0,0.9911903267405181,1.0341778315190409,-0.025776731609283177
64,150,4,0.07,0.07,0.9554153843960734,1.0370163757702324,-0.0354895872937151
64,150,4,0.03,0.05,0.9526402711233268,1.0371109986327722,-0.07007631976604967
64,150,6,0.05,0.07,0.9847995414611753,1.037405877681637,-0.02074292177447057
64,150,4,0.03,0.03,0.9499783197868894,1.0395648971461804,-0.05337666911964001
64,150,6,0.03,0.03,0.9762299588018712,1.039753340373168,-0.024188247880150504
64,150,6,0.03,0.0,0.9859750172115148,1.0399357225850232,-0.021134591371539724
64,150,6,0.07,0.03,1.0015731608329905,1.0485431127026423,-0.04729322912569556
64,150,6,0.07,0.05,0.982633320866562,1.048854864389536,-0.05390861219717524
64,150,6,0.05,0.05,1.0227574129744843,1.0695290872506924,-0.09466090460096765
64,150,4,0.07,0.05,6.533290286634985,6.560818647307102,-27.203228879028735
64,150,6,0.03,0.07,6.533290286634985,6.560818647307102,-27.203228879028735
64,150,4,0.07,0.03,6.533290286634985,6.560818647307102,-27.203228879028735
64,150,6,0.05,0.03,6.533290286634985,6.560818647307102,-27.203228879028735
64,150,4,0.05,0.07,6.533290286634985,6.560818647307102,-27.203228879028735
64,50,2,0.03,0.05,6.533290286634985,6.560818647307102,-27.203228879028735
64,150,4,0.05,0.03,6.533290286634985,6.560818647307102,-27.203228879028735
64,150,4,0.05,0.0,6.533290286634985,6.560818647307102,-27.203228879028735
64,50,2,0.05,0.0,6.533290286634985,6.560818647307102,-27.203228879028735
32,50,2,0.03,0.0,6.533290286634985,6.560818647307102,-27.203228879028735
64,150,4,0.03,0.0,6.533290286634985,6.560818647307102,-27.203228879028735
64,50,2,0.07,0.0,6.533290286634985,6.560818647307102,-27.203228879028735
64,100,2,0.07,0.03,6.533290286634985,6.560818647307102,-27.203228879028735
64,50,4,0.03,0.03,6.533290286634985,6.560818647307102,-27.203228879028735
64,100,2,0.03,0.0,6.533290286634985,6.560818647307102,-27.203228879028735
64,50,6,0.07,0.05,6.533290286634985,6.560818647307102,-27.203228879028735
64,100,4,0.03,0.05,6.533290286634985,6.560818647307102,-27.203228879028735
64,100,4,0.05,0.0,6.533290286634985,6.560818647307102,-27.203228879028735
64,100,4,0.05,0.03,6.533290286634985,6.560818647307102,-27.203228879028735
64,100,4,0.05,0.05,6.533290286634985,6.560818647307102,-27.203228879028735
64,50,6,0.05,0.05,6.533290286634985,6.560818647307102,-27.203228879028735
64,100,4,0.07,0.0,6.533290286634985,6.560818647307102,-27.203228879028735
64,50,6,0.05,0.03,6.533290286634985,6.560818647307102,-27.203228879028735
64,100,4,0.07,0.07,6.533290286634985,6.560818647307102,-27.203228879028735
64,100,6,0.03,0.03,6.533290286634985,6.560818647307102,-27.203228879028735
64,100,6,0.03,0.05,6.533290286634985,6.560818647307102,-27.203228879028735
64,100,6,0.03,0.07,6.533290286634985,6.560818647307102,-27.203228879028735
64,100,6,0.05,0.0,6.533290286634985,6.560818647307102,-27.203228879028735
64,100,6,0.05,0.07,6.533290286634985,6.560818647307102,-27.203228879028735
64,100,6,0.07,0.03,6.533290286634985,6.560818647307102,-27.203228879028735
64,100,6,0.07,0.07,6.533290286634985,6.560818647307102,-27.203228879028735
64,150,2,0.03,0.0,6.533290286634985,6.560818647307102,-27.203228879028735
64,50,6,0.05,0.0,6.533290286634985,6.560818647307102,-27.203228879028735
64,50,6,0.03,0.05,6.533290286634985,6.560818647307102,-27.203228879028735
64,50,6,0.03,0.03,6.533290286634985,6.560818647307102,-27.203228879028735
64,100,2,0.03,0.07,6.533290286634985,6.560818647307102,-27.203228879028735
64,150,2,0.05,0.05,6.533290286634985,6.560818647307102,-27.203228879028735
64,50,4,0.05,0.0,6.533290286634985,6.560818647307102,-27.203228879028735
64,50,4,0.03,0.05,6.533290286634985,6.560818647307102,-27.203228879028735
64,50,2,0.07,0.03,6.533290286634985,6.560818647307102,-27.203228879028735
32,50,2,0.03,0.05,6.533290286634985,6.560818647307102,-27.203228879028735
