,# of Nodes 3,Epochs,Batch size,l2_2,l2_3,Train loss,Test loss,r2
24,0,150,6,0.03,0,0.5330638289451599,0.8161547183990479,0.25839166594419694
20,0,150,2,0.07,0,0.5975915789604187,0.8174043893814087,0.26310291488091453
25,0,150,6,0.05,0,0.5476340651512146,0.817605197429657,0.27061114431773137
18,0,150,2,0.03,0,0.5660578012466431,0.8153098225593567,0.27109830343847297
8,0,50,6,0.07,0,0.6599237322807312,0.8249702453613281,0.28213412409700134
14,0,100,4,0.07,0,0.5843655467033386,0.802525520324707,0.28360457366454805
23,0,150,4,0.07,0,0.5417113304138184,0.8060188889503479,0.2873895310608099
10,0,100,2,0.05,0,0.5780465602874756,0.8006246089935303,0.29188551600185464
19,0,150,2,0.05,0,0.5502763986587524,0.8134329915046692,0.29244804407691805
21,0,150,4,0.03,0,0.5063300132751465,0.795129656791687,0.2937364772360509
13,0,100,4,0.05,0,0.5706164836883545,0.7963759303092957,0.2994334044633947
22,0,150,4,0.05,0,0.5359227657318115,0.7975887060165405,0.2995355564393002
5,0,50,4,0.07,0,0.6533927917480469,0.8113864660263062,0.3003234129418425
0,0,50,2,0.03,0,0.6288121342658997,0.8031888008117676,0.3010804066508329
12,0,100,4,0.03,0,0.552395224571228,0.7929716110229492,0.3040181849415511
26,0,150,6,0.07,0,0.5462073087692261,0.8052319884300232,0.30603937816816285
2,0,50,2,0.07,0,0.6616450548171997,0.7968777418136597,0.3135761241501581
16,0,100,6,0.05,0,0.5527998208999634,0.7944706678390503,0.3148039437969886
3,0,50,4,0.03,0,0.5992448329925537,0.7983526587486267,0.31639219207003366
11,0,100,2,0.07,0,0.6063625812530518,0.7945718765258789,0.3212306288485557
1,0,50,2,0.05,0,0.6406668424606323,0.7965667247772217,0.324598444134531
17,0,100,6,0.07,0,0.5763840675354004,0.7918580770492554,0.32547443330677883
9,0,100,2,0.03,0,0.5527128577232361,0.7770925760269165,0.3264364891006618
6,0,50,6,0.03,0,0.5877441763877869,0.7831852436065674,0.3284453148473052
15,0,100,6,0.03,0,0.5456137657165527,0.7789299488067627,0.3296695400750479
4,0,50,4,0.05,0,0.6177670955657959,0.7935705184936523,0.33204947408599095
7,0,50,6,0.05,0,0.6003114581108093,0.7791362404823303,0.3520829277343994
